name
System Idle Process
System
svchost.exe
Registry
smss.exe
services.exe
csrss.exe
wininit.exe
lsass.exe
wweb32.exe
fontdrvhost.exe
WUDFHost.exe
winlogon.exe
conhost.exe
RuntimeBroker.exe
dwm.exe
SystemSettingsBroker.exe
sqlservr.exe
python.exe
NVDisplay.Container.exe
dasHost.exe
amdfendrsr.exe
AsusCertService.exe
MemCompression
WmiPrvSE.exe
bash.exe
backgroundTaskHost.exe
atkexComSvc.exe
FuncServer_WDC_x64.exe
sihost.exe
taskhostw.exe
DipAwayMode.exe
AISuite3.exe
ctfmon.exe
explorer.exe
msedgewebview2.exe
uhssvc.exe
StartMenuExperienceHost.exe
DtsApo4Service.exe
GoogleDriveFS.exe
spoolsv.exe
ExitLagPmService.exe
HiddifyCli.exe
GameSDK.exe
AsusFanControlService.exe
jhi_service.exe
OpenDHCPServer.exe
ShutdownService.exe
nvcontainer.exe
srv64.exe
ROGLiveService.exe
MpDefenderCoreService.exe
RtkAudUService64.exe
sqlwriter.exe
WebUpdateSvc4.exe
ss_conn_service.exe
RstMwService.exe
vpn-unlimited-daemon.exe
ZapyaService.exe
MsMpEng.exe
WMIRegistrationService.exe
ApplicationFrameHost.exe
openvpnserv.exe
wlanext.exe
Greenshot.exe
SecurityHealthService.exe
Intel_PIE_Service.exe
deskpins.exe
AsPowerBar.exe
dllhost.exe
AacKingstonDramHal_x64.exe
sppsvc.exe
SearchApp.exe
wmpnetwk.exe
SgrmBroker.exe
crashpad_handler.exe
LockApp.exe
unsecapp.exe
SecurityHealthSystray.exe
SearchIndexer.exe
SppExtComObj.Exe
TextInputHost.exe
NisSrv.exe
pet.exe
IEMonitor.exe
CareUEyes.exe
IDMan.exe
ShellExperienceHost.exe
CalculatorApp.exe
sqlceip.exe
WhatsApp.exe
CompPkgSrv.exe
Video.UI.exe
PhoneExperienceHost.exe
audiodg.exe
SystemSettings.exe
pythonw.exe
wermgr.exe
SearchFilterHost.exe
SearchProtocolHost.exe
OneDriveStandaloneUpdater.exe
MSOSYNC.EXE
